"","pars"
"Kst",NA
"Kint",NA
"KurineC",NA
"KmC",NA
"Ka",NA
"QCC",NA
"QLC",NA
"QKC",NA
"QFC",NA
"QMC",NA
"QovaryC",NA
"QoviductC",NA
"BW",NA
"VLC",NA
"VKC",NA
"VFC",NA
"VMC",NA
"VbloodC",NA
"Htc",NA
"VovaryC",NA
"VoviductC",NA
"PB",NA
"PL",NA
"PK",NA
"PM",NA
"Povary",NA
"Poviduct",NA
"PF",NA
"PRest",NA
"Ay",NA
"Ky",NA
"Kw",NA
"tlag",NA
"tsig",NA
"s",NA
"talbumen",NA
"tlay1",NA
"Rwhitefor",NA
